Andrew Hedrick [US]	Fernando Castaneda [MX]	W	12	4
Andrew Hedrick [US]	Jonathan Fabrizio Bellucci Lanciano [AR]	W	15	5
Andrew Hedrick [US]	Justin Turner [US]	L	15	6
Andrew Hedrick [US]	Diego García Rueda [MX]	W	18	7
Andrew Hedrick [US]	Diego Cassiraga [AR]	W	21	8
Andrew Hedrick [US]	Eder Jarillo [MX]	W	24	9
Andrew Hedrick [US]	Pedro Pertusi [BR]	L	24	10
Andrew Hedrick [US]	Rolando Gabriel Coronado Jimenez [MX]	L	24	11
Andrew Hedrick [US]	Carlos Medina Astete [PE]	W	27	12
Sotero De Jesus De Dios Gonzalez [MX]	Daniel Martínez Vargas [MX]	W	3	1
Sotero De Jesus De Dios Gonzalez [MX]	Gabriel Smart [US]	L	3	2
Sotero De Jesus De Dios Gonzalez [MX]	Francisco Quijada [MX]	W	6	3
Sotero De Jesus De Dios Gonzalez [MX]	Juan Antonio Leon Santos [MX]	W	9	4
Sotero De Jesus De Dios Gonzalez [MX]	Oscar Godoy Gonzalez [MX]	W	12	5
Sotero De Jesus De Dios Gonzalez [MX]	Oscar Alejandro Martínez Navarro [MX]	W	15	6
Sotero De Jesus De Dios Gonzalez [MX]	Pablo Martinez [MX]	W	18	7
Sotero De Jesus De Dios Gonzalez [MX]	Luis Gerardo Oliva Hernández [MX]	T	19	8
Sotero De Jesus De Dios Gonzalez [MX]	Eliseo Vazquez [MX]	T	20	9
Sotero De Jesus De Dios Gonzalez [MX]	Alberto Bonsanto [MX]	W	23	10
Sotero De Jesus De Dios Gonzalez [MX]	Joshua Sanchez [CR]	W	26	11
Sotero De Jesus De Dios Gonzalez [MX]	Jack Moore [CA]	T	27	12
Gabriel Smart [US]	Miguel Muñoz Remus [MX]	W	3	1
Gabriel Smart [US]	Sotero De Jesus De Dios Gonzalez [MX]	W	6	2
Gabriel Smart [US]	Giovanni Muñoz [MX]	W	9	3
Gabriel Smart [US]	Pablo Figueroa [MX]	L	9	4
Gabriel Smart [US]	Aldo Castillo Sanchez [MX]	W	12	5
Gabriel Smart [US]	Joel Zamora [MX]	W	15	6
Gabriel Smart [US]	armando adame [MX]	W	18	7
Gabriel Smart [US]	Joshua Sanchez [CR]	T	19	8
Gabriel Smart [US]	Enrique Saenz [MX]	T	20	9
Gabriel Smart [US]	Victor García [MX]	W	23	10
Gabriel Smart [US]	OMAR ALEJANDRO SUAREZ GURROLA [MX]	T	24	11
Gabriel Smart [US]	André Miranda [BR]	W	27	12
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Oscar Perez [MX]	W	3	1
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Manuel Alejandro Castillo Geronimo [MX]	W	6	2
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Sebastian Jimenez [MX]	W	9	3
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Francisco Bernard [CR]	T	10	4
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Ciaran Farah [CA]	T	11	5
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Jesus Bautista [MX]	W	14	6
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Tony Vuong [US]	W	17	7
OMAR ALEJANDRO SUAREZ GURROLA [MX]	andres estefano gajardo lopehandia [CL]	L	17	8
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Gerardo Morales [MX]	W	20	9
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Alexis Vazquez [MX]	W	23	10
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Gabriel Smart [US]	T	24	11
OMAR ALEJANDRO SUAREZ GURROLA [MX]	Alejandro Sanchez [MX]	W	27	12
Pedro Pertusi [BR]	Pedro natan rico castro [MX]	W	3	1
Pedro Pertusi [BR]	Steve Gloria [BZ]	W	6	2
Pedro Pertusi [BR]	Jose Orihuela [MX]	T	7	3
Pedro Pertusi [BR]	Octavio González [MX]	W	10	4
Pedro Pertusi [BR]	Nickon Bostandoustnik [CA]	W	13	5
Pedro Pertusi [BR]	Alberto Salvador Zarzoza Gomez [MX]	W	16	6
Pedro Pertusi [BR]	Alberto Bonsanto [MX]	W	19	7
Pedro Pertusi [BR]	Rafael Yuiti [BR]	W	22	8
Pedro Pertusi [BR]	Brent Tonisson [AU]	T	23	9
Pedro Pertusi [BR]	Andrew Hedrick [US]	W	26	10
Pedro Pertusi [BR]	Michael Davidson [US]	L	26	11
Pedro Pertusi [BR]	Diego Cassiraga [AR]	L	26	12
Alberto Bonsanto [MX]	Ali Uzziel Monroy Rodriguez [MX]	W	3	1
Alberto Bonsanto [MX]	Victor Rios [MX]	W	6	2
Alberto Bonsanto [MX]	Emiliano Huang [MX]	W	9	3
Alberto Bonsanto [MX]	Luis Puente [MX]	T	10	4
Alberto Bonsanto [MX]	Marco Villarreal [MX]	W	13	5
Alberto Bonsanto [MX]	Luis Angel Aguilar Cruz [MX]	W	16	6
Alberto Bonsanto [MX]	Pedro Pertusi [BR]	L	16	7
Alberto Bonsanto [MX]	Alejandro Sanchez [MX]	W	19	8
Alberto Bonsanto [MX]	Steven Salas Cajina [CR]	T	20	9
Alberto Bonsanto [MX]	Sotero De Jesus De Dios Gonzalez [MX]	L	20	10
Alberto Bonsanto [MX]	Jesus Enrique Cervera Novelo [MX]	W	23	11
Alberto Bonsanto [MX]	Gabriel Perez Centeno [MX]	W	26	12
Jaime Riva [MX]	Daniel Teran [MX]	W	3	1
Jaime Riva [MX]	Jorge López [MX]	W	6	2
Jaime Riva [MX]	Luis Enrique Pech Cruz [MX]	W	9	3
Jaime Riva [MX]	Yalevo Jimenez [MX]	T	10	4
Jaime Riva [MX]	Gerardo Luna [MX]	W	13	5
Jaime Riva [MX]	Cesar David Alvarado Martínez [MX]	T	14	6
Jaime Riva [MX]	Ciaran Farah [CA]	L	14	7
Jaime Riva [MX]	Gian Gonzalez [MX]	W	17	8
Jaime Riva [MX]	Carlos Alberto Ruiz Castrejón [MX]	W	20	9
Jaime Riva [MX]	Enrique Saenz [MX]	W	23	10
Jaime Riva [MX]	Steven Salas Cajina [CR]	L	23	11
Jaime Riva [MX]	Pablo Lopez [MX]	W	26	12
Victor De Velasco [MX]	Javier Andrés Gongora Ojeda [MX]	W	3	1
Victor De Velasco [MX]	Randolp Hernández García [MX]	W	6	2
Victor De Velasco [MX]	Ricardo Montalvo [MX]	W	9	3
Victor De Velasco [MX]	juan jose de jesus cauich balam [MX]	T	10	4
Victor De Velasco [MX]	Axel Salazar [MX]	W	13	5
Victor De Velasco [MX]	Miguel Alejandro Hernandez Garcia [MX]	W	16	6
Victor De Velasco [MX]	Yona Elanai Valle Cadena [MX]	W	19	7
Victor De Velasco [MX]	Fernando Elias Vega [MX]	T	20	8
Victor De Velasco [MX]	Tanner Hurley [US]	L	20	9
Victor De Velasco [MX]	Cesar David Alvarado Martínez [MX]	W	23	10
Victor De Velasco [MX]	FRANCISCO HERNANDEZ [MX]	W	26	11
Victor De Velasco [MX]	Rafael Yuiti [BR]	L	26	12
Cesar David Alvarado Martínez [MX]	Fernando Elias Vega [MX]	T	1	1
Cesar David Alvarado Martínez [MX]	Carlos Eduardo González [MX]	W	4	2
Cesar David Alvarado Martínez [MX]	Cristian Rodríguez [MX]	W	7	3
Cesar David Alvarado Martínez [MX]	Carlos Enrique Cayetano Castellanos [MX]	W	10	4
Cesar David Alvarado Martínez [MX]	Carlos Alberto Ruiz Castrejón [MX]	W	13	5
